POOLID,SIZE,OFFSET,LENGTH
60,0.082286288,0,0.001494395
60,0.082286288,0,0.001498777
60,0.082286288,0,0.001507542
60,0.082286288,0,0.001507542
60,0.082286288,0,0.001511924
60,0.082286288,0,0.001511924
60,0.082286288,0,0.001511924
60,0.082286288,0,0.001525072
60,0.082286288,0,0.001551366
60,0.082286288,0,0.001568896
60,0.082286288,0,0.001573278
60,0.082286288,0,0.001573278
60,0.082286288,0,0.00157766
60,0.082286288,0,0.00157766
60,0.082286288,0,0.001590807
60,0.082286288,0,0.001590807
60,0.082286288,0,0.00159519
60,0.082286288,0,0.001608337
60,0.082286288,0,0.001608337
60,0.082286288,0,0.001612719
60,0.082286288,0,0.001612719
60,0.082286288,0,0.001617102
60,0.082286288,0,0.001647779
60,0.082286288,0,0.001665308
60,0.082286288,0,0.001669691
60,0.082286288,0,0.001674073
60,0.082286288,0,0.001682838
60,0.082286288,0,0.001682838
60,0.082286288,0,0.00168722
60,0.082286288,0,0.00168722
60,0.082286288,0,0.001700367
60,0.082286288,0,0.001700367
60,0.082286288,0,0.00170475
60,0.082286288,0,0.001722279
60,0.082286288,0,0.001726662
60,0.082286288,0,0.001731044
60,0.082286288,0,0.001739809
60,0.082286288,0,0.001739809
60,0.082286288,0,0.001744191
60,0.082286288,0,0.001774868
60,0.082286288,0,0.001792397
60,0.082286288,0,0.001814309
60,0.082286288,0,0.001818692
60,0.082286288,0,0.001823074
60,0.082286288,0,0.001827457
60,0.082286288,0,0.001827457
60,0.082286288,0,0.001831839
60,0.082286288,0,0.001849368
60,0.082286288,0,0.001862516
60,0.082286288,0,0.001866898
60,0.082286288,0,0.001875663
60,0.082286288,0,0.001880045
60,0.082286288,0,0.00188881
60,0.082286288,0,0.00188881
60,0.082286288,0,0.00188881
60,0.082286288,0,0.001893192
60,0.082286288,0,0.001897575
60,0.082286288,0,0.001897575
60,0.082286288,0,0.001901957
60,0.082286288,0,0.00190634
60,0.082286288,0,0.00190634
60,0.082286288,0,0.001915104
60,0.082286288,0,0.001915104
60,0.082286288,0,0.001919487
60,0.082286288,0,0.001919487
60,0.082286288,0,0.001919487
60,0.082286288,0,0.001923869
60,0.082286288,0,0.001923869
